Chương 3. Căn bậc hai và căn bậc ba · lớp 9 · 23 dạng · 474 câu


### [1] Bài 1. Căn bậc hai và căn thức bậc hai | Ứng dụng thực tế của căn bậc hai (37)
    yêu cầu: Giải quyết được một số vấn đề thực tiễn liên quan đến căn bậc hai (độ dài, diện tích, tốc độ, công thức vật lí).
  2s87 TL 2 | Trục căn thức ở mẫu của các phân thức sau, với các biểu thức đều có nghĩa: a) \dfrac{1}{\sqrt{m}+n}; b) \dfrac
  5lqb TL 2 | Trục căn thức ở mẫu và rút gọn: a) \dfrac{1}{2\sqrt{2}-3\sqrt{3}}; b) \sqrt{\dfrac{3-\sqrt{5}}{3+\sqrt{5}}}; c
  nvcb TL 1 | Khử mẫu của các biểu thức dưới dấu căn (giả thiết rằng các biểu thức đã cho có nghĩa): \sqrt{\dfrac{1}{600}}; 
  m3k2 TL 3 | Khử mẫu của mỗi biểu thức dưới dấu căn bậc hai sau: a) \sqrt{\dfrac{5x^3}{49y}} với x \ge 0; y > 0; b) 7xy\sqr
  0yeu TL 1 | Trục căn thức ở mẫu các biểu thức sau: a) \dfrac{2}{\sqrt{3}-1}; b) \dfrac{3}{\sqrt{15}+4}; c) \dfrac{4}{\sqrt
  vkjt TL 1 | Khử mẫu biểu thức lấy căn: a) \sqrt{\dfrac{5}{2}}; b) \sqrt{\dfrac{5}{14}}; c) \sqrt{\dfrac{3m}{5n}} với m \cd
  etdc TL 1 | Trục căn thức ở mẫu của các phân thức sau: a) \dfrac{3+\sqrt{3}}{3\sqrt{3}}; b) \dfrac{5+\sqrt{5}}{\sqrt{5}+1}
  6qm2 TL 3 | Trục căn thức ở mẫu: a) A = \dfrac{\sqrt{6}+\sqrt{14}}{2\sqrt{3}-\sqrt{7}}; b) B = \dfrac{3+4\sqrt{3}}{\sqrt{6
  jyqe TL 2 | Khử mẫu của biểu thức lấy căn: a) -x^2y\sqrt{\dfrac{y}{x}} với x > 0; y \ge 0; b) \sqrt{\dfrac{-2x}{15}} với x
  g6xp TL 3 | Trục căn thức ở mẫu của các phân thức sau: a) \dfrac{1}{\sqrt{3}+\sqrt{2}-1}; b) \dfrac{1}{\sqrt{14}-\sqrt{6+\
  xxhb TL 2 | Trục căn thức ở mẫu: a) \dfrac{2}{\sqrt{a}} với a > 0; b) \dfrac{5}{\sqrt{x}+3} với x \ge 0; c) \dfrac{1}{\sqr

### [14] Bài 3. Biến đổi đơn giản và rút gọn biểu thức chứa căn thức bậc hai | Giải phương trình chứa căn thức bậc hai (1)
    yêu cầu: Giải được phương trình chứa căn thức bậc hai đơn giản bằng cách đặt điều kiện, bình phương hai vế hoặc đưa về √A = B.
  gqc0 TL 4 | Giải phương trình: 3\sqrt{x} = x - \sqrt{7(x-2)} + 7.

### [15] Bài 3. Biến đổi đơn giản và rút gọn biểu thức chứa căn thức bậc hai | Tìm x để biểu thức chứa căn nhận giá trị nguyên (8)
    yêu cầu: Tìm được giá trị nguyên của biến để biểu thức chứa căn sau khi rút gọn nhận giá trị nguyên.
  le9q TL 3 | Cho biểu thức P = \dfrac{3x+\sqrt{9x}-3}{x+\sqrt{x}-2} - \dfrac{\sqrt{x}+1}{\sqrt{x}+2} + \dfrac{\sqrt{x}-2}{1
  w4ph TL 3 | Cho biểu thức A = \dfrac{\sqrt{x}}{\sqrt{x}-2} và B = \dfrac{2\sqrt{x}}{\sqrt{x}-3} - \dfrac{x+9\sqrt{x}}{x-9}
  zodt TL 4 | Cho biểu thức P = \dfrac{x-2\sqrt{x}}{x\sqrt{x}-1} + \dfrac{\sqrt{x}+1}{x\sqrt{x}+x+\sqrt{x}} + \dfrac{1+2x-2\
  2vhe TL 3 | Cho biểu thức A = \dfrac{3x+\sqrt{9x}-3}{x+\sqrt{x}-2} - \dfrac{\sqrt{x}+1}{\sqrt{x}+2} + \dfrac{\sqrt{x}+2}{1
  o7na TL 4 | Cho biểu thức A = (\dfrac{2}{\sqrt{x}-2} + \dfrac{3}{2\sqrt{x}+1} - \dfrac{5\sqrt{x}-7}{2x-3\sqrt{x}-2}) : \df
  b6u2 TL 4 | Cho biểu thức P = (\dfrac{3\sqrt{x}}{\sqrt{x}-1} - \dfrac{2\sqrt{x}}{3x+2\sqrt{x}} - \dfrac{9x+\sqrt{x}+1}{3x-
  s1wd TL 3 | Cho biểu thức P = \dfrac{15\sqrt{x}-11}{x+2\sqrt{x}-3} + \dfrac{3\sqrt{x}-2}{1-\sqrt{x}} + \dfrac{2\sqrt{x}+3}
  nfmz TL 3 | Cho biểu thức A = (1 - \dfrac{\sqrt{x}}{\sqrt{x}+1}) : (\dfrac{\sqrt{x}+3}{\sqrt{x}-2} + \dfrac{\sqrt{x}+2}{3-

### [16] Bài 3. Biến đổi đơn giản và rút gọn biểu thức chứa căn thức bậc hai | Tìm giá trị lớn nhất, nhỏ nhất của biểu thức chứa căn (4)
    yêu cầu: Tìm được giá trị lớn nhất hoặc nhỏ nhất của biểu thức chứa căn bậc hai sau khi rút gọn.
  m5h2 TLN 2 | Tìm nghiệm lớn nhất của x(x - 4)(x + 2) = 0.
  aadb TLN 2 | Giải x^2 - 25 = 0 và cho biết hiệu nghiệm lớn với nghiệm nhỏ.
  fj4n TL 3 | Cho biểu thức Q = (\frac{\sqrt{x} - 3}{\sqrt{x} + 3} + \frac{\sqrt{x} + 3}{\sqrt{x} - 3} - \frac{14}{9 - x}) \
  id7u TL 3 | Cho biểu thức P = (\frac{1}{\sqrt{x} - 1} + \frac{1}{x - 1}) : (2 - \frac{\sqrt{x} - 4}{\sqrt{x} - 1}). a) Rút

### [17] Bài 3. Biến đổi đơn giản và rút gọn biểu thức chứa căn thức bậc hai | Ứng dụng thực tế của biểu thức chứa căn (2)
    yêu cầu: Giải quyết được một số vấn đề thực tiễn có bối cảnh hình học hoặc vật lí bằng cách biến đổi biểu thức chứa căn.
  7r3o TL 2 | Tam giác ABC được vẽ trên lưới ô vuông như hình dưới ![Hình ảnh](https://cmjithgtecypxmisbzvw.supabase.co/stor
  l80a TL 2 | Một vườn hoa gồm ba thửa hình vuông X, Y, Z lần lượt có diện tích như hình dưới ![Hình ảnh](https://cmjithgtec

### [18] Bài 4. Căn bậc ba và căn thức bậc ba | Tìm căn bậc ba của một số (16)
    yêu cầu: Nhận biết được khái niệm căn bậc ba và tính được căn bậc ba của một số thực bằng nhẩm hoặc máy tính cầm tay.
  1s89 TL 1 | Tính: \sqrt[3]{1,331}.
  h4km TL 1 | Sử dụng MTCT, tính căn bậc ba sau đây (làm tròn kết quả đến chữ số thập phân thứ hai): \sqrt[3]{2,1}.
  jsah TL 1 | Sử dụng MTCT, tính căn bậc ba sau đây (làm tròn kết quả đến chữ số thập phân thứ hai): \sqrt[3]{-18}.
  f38x TL 1 | Tìm căn bậc ba của: 216.
  lb5r TL 1 | Tìm căn bậc ba của: -\frac{1}{1000}.
  lbjj TL 1 | Sử dụng MTCT, tính căn bậc ba sau đây (làm tròn kết quả đến chữ số thập phân thứ hai): \sqrt[3]{0,35}.
  ozg2 TL 1 | Tính: \sqrt[3]{216}.
  ocz3 TL 1 | Tìm căn bậc ba của: -\frac{1000}{216}.
  fs8v TL 1 | Tìm căn bậc ba của: -64.
  b8xy TL 1 | Tìm căn bậc ba của: \frac{125}{8}.
  p20z TL 1 | Tìm căn bậc ba của: 0,512.
  n3lu TL 1 | Tính: \sqrt[3]{-0,001}.
  pdch TL 1 | Tính: \sqrt[3]{-512}.
  tseb TL 1 | Tìm căn bậc ba của: \frac{27}{512}.
  l05j TL 1 | Sử dụng MTCT, tính căn bậc ba sau đây (làm tròn kết quả đến chữ số thập phân thứ hai): \sqrt[3]{-28}.
  iz6a TL 1 | Tìm căn bậc ba của: -0,0729.

### [19] Bài 4. Căn bậc ba và căn thức bậc ba | So sánh các căn bậc ba (4)
    yêu cầu: So sánh được các căn bậc ba dựa vào tính chất a < b ⇔ ∛a < ∛b.
  y0xj TL 1 | So sánh các cặp số sau: \sqrt[3]{-2024} và \sqrt[3]{-2025}.
  0tlj TL 2 | So sánh các cặp số sau: -7 và \sqrt[3]{-342}.
  kmjn TL 1 | So sánh các cặp số sau: 8 và \sqrt[3]{511}.
  kdh4 TL 2 | So sánh các cặp số sau: \sqrt[3]{\frac{1}{1000}} và \sqrt[3]{\frac{1}{1001}}.

### [20] Bài 4. Căn bậc ba và căn thức bậc ba | Tìm điều kiện xác định của căn thức bậc ba (4)
    yêu cầu: Xác định được điều kiện để căn thức bậc ba có nghĩa (biểu thức dưới căn xác định).
  ddqe TL 1 | Tìm x để căn thức sau có nghĩa: \sqrt[3]{\frac{2025 - 2024x}{2023}}.
  s2up TL 1 | Tìm x để căn thức sau có nghĩa: \sqrt[3]{x - 2024}.
  e608 TL 1 | Tìm x để căn thức sau có nghĩa: \sqrt[3]{\frac{-2}{x - 1}}.
  wlr7 TL 1 | Tìm x để căn thức sau có nghĩa: \sqrt[3]{\frac{-2024}{4x - 3}}.

### [21] Bài 4. Căn bậc ba và căn thức bậc ba | Tính giá trị, rút gọn biểu thức chứa căn bậc ba (22)
    yêu cầu: Tính được giá trị và rút gọn được biểu thức chứa căn bậc ba, kể cả biểu thức có chữ.
  xokl TL 2 | Rút gọn các biểu thức sau: (\sqrt[3]{\sqrt{2} + 1})^3.
  e8mo TL 2 | Rút gọn biểu thức \sqrt[3]{x^3 - 3x^2 + 3x - 1}.
  mwr6 TL 2 | Rút gọn các biểu thức sau: \sqrt[3]{(1 - \sqrt{2})^3}.
  8gh1 TL 2 | Rút gọn các biểu thức sau: \sqrt[3]{(2\sqrt{2} + 1)^3}.
  qyf4 TL 1 | Tính: \sqrt[3]{-0,027}.
  het1 TL 1 | Tính: \sqrt[3]{\frac{64}{343}}.
  m7i3 TL 1 | Tính: \sqrt[3]{729}.
  p8op TL 1 | Tính: \sqrt[3]{\frac{1}{125}}.
  wrrn TL 1 | Tính giá trị của căn thức bậc ba sau: \sqrt[3]{2025 - x} tại x = 2017; x = 1998; x = 1961.
  hpuo TL 2 | Tính giá trị của căn thức bậc ba sau: \sqrt[3]{150 - x^2} tại x = -5; x = 5; x = \sqrt{86}.
  mmqh TL 1 | Tính: \sqrt[3]{27}.
  rie3 TL 1 | Tính giá trị của căn thức \sqrt[3]{5x - 1} tại x = -1,4.
  9v32 TL 1 | Tính giá trị của căn thức \sqrt[3]{5x - 1} tại x = 0.
  ubfv TL 1 | Tính: -\sqrt[3]{2024^3}.
  ogk1 TL 1 | Tính: \sqrt[3]{0,008}.
  og7p TL 1 | Tính: \sqrt[3]{-\frac{1}{216}}.
  fpe4 TL 2 | Tính giá trị của căn thức bậc ba sau: \sqrt[3]{x^2 + 9} tại x = -\sqrt{18}; x = \sqrt{7}; x = 5.
  n67z TL 1 | Tính: (-\sqrt[3]{\frac{4}{5}})^3.
  8bj3 TL 1 | Tính: (-\sqrt[3]{\frac{2024}{2025}})^3.
  j7p1 TL 2 | Rút gọn rồi tính giá trị của biểu thức \sqrt[3]{27x^3 - 27x^2 + 9x - 1} tại x = 7.
  9pzw TL 1 | Tính: -\sqrt[3]{\frac{1}{512}}.
  pf0c TL 2 | Tính giá trị của căn thức bậc ba sau: \sqrt[3]{4x + 7} tại x = -2; x = 5; x = \frac{203}{4}.

### [22] Bài 4. Căn bậc ba và căn thức bậc ba | Ứng dụng thực tế của căn bậc ba (15)
    yêu cầu: Giải quyết được một số vấn đề thực tiễn liên quan đến căn bậc ba (thể tích, cạnh hình lập phương, bán kính hình cầu).
  v1af TL 2 | Thể tích của một khối bê tông có dạng hình lập phương là khoảng 220\ 348\text{ cm}^3. Hỏi độ dài cạnh của khối
  cc14 TL 2 | Có hai khối bê tông hình lập phương A và B có thể tích lần lượt là 8\text{ dm}^3 và 15\text{ dm}^3 (Hình 1). [
  04nk TL 3 | Có thể xếp 125 khối lập phương đơn vị (có cạnh bằng 1 cm) thành một khối lập phương lớn được không?
  740k TL 2 | Một khối gỗ hình lập phương có thể tích 1\ 000\text{ cm}^3. Chia khối gỗ này thành 8 khối gỗ hình lập phương n
  n6ki TL 2 | Có hai khối bê tông hình lập phương A và B có thể tích lần lượt là 8\text{ dm}^3 và 15\text{ dm}^3 (Hình 1). [
  4rpo TL 2 | Một người thợ muốn làm một thùng tôn hình lập phương có thể tích bằng 730 \text{ dm}^3. Em hãy ước lượng chiều
  xle2 TL 2 | Bạn Loan cần làm một chiếc hộp giấy có dạng hình lập phương với thể tích là 64\text{ dm}^3. Hỏi cạnh của chiếc
  qr8j TL 3 | Một bể cá hình lập phương có sức chứa 1\ 000\text{ dm}^3. Muốn tăng sức chứa của bể lên 10 lần (giữ nguyên hìn
  rrg2 TL 2 | Chiều cao ngang vai của một con voi đực ở châu Phi là h (cm) có thể được tính xấp xỉ bằng công thức: h = 62,5\
  u755 TL 2 | Ông An có một bể kính hình lập phương như Hình vẽ. [HÌNH VẼ] Ông An muốn làm thêm một bể kính mới hình lập phư
  123e TL 2 | Định luật Kepler về sự chuyển động của các hành tinh trong Hệ mặt trời xác định mối quan hệ giữa chu kỳ quay q
  xoux TL 3 | Chiều cao ngang vai của một con voi đực ở châu Phi là h (cm) có thể được tính xấp xỉ bằng công thức: h = 62,5\
  nzqm TL 2 | Định luật Kepler về sự chuyển động của các hành tinh trong Hệ mặt trời xác định mối quan hệ giữa chu kỳ quay q
  yis1 TL 2 | Ông An có một bể kính hình lập phương như Hình vẽ. [HÌNH VẼ] Ông An muốn làm thêm một bể kính mới hình lập phư
  t2q3 TL 2 | Thể tích V của một khối lập phương được tính bởi công thức: V = a^3 với a là độ dài cạnh của khối lập phương. 

### [23] Bài 5. Ôn tập chương | Bài tập tổng hợp chương 3 (0)
    yêu cầu: Vận dụng tổng hợp kiến thức về căn bậc hai, căn bậc ba, các phép biến đổi và rút gọn biểu thức chứa căn.
