Chương 1. Đa thức · lớp 8 · 49 dạng · 505 câu


### [1] Bài 1. Đơn thức | Rút gọn và tính giá trị biểu thức (3)
    yêu cầu: Thực hiện được việc thu gọn và tính giá trị của biểu thức đại số tại các giá trị cho trước của biến.
  h2kk NLC 1 | Kết quả phép nhân x(2x^2+1) là:
  t4ox NLC 2 | Kết quả phép nhân (xy-1)(xy+5) =
  3t9d TL 1 | Thực hiện phép tính sau: 2x(4xy-1)-8x^2y
  e9oj TL 2 | Thực hiện phép tính sau: (2x-y)(x^2-xy+3y^2)
  hnrf TL 2 | Thực hiện phép tính sau: a) 2x(4xy - 1) - 8x^2y. b) (3x^2y^2 + 6x^2y^3 - 12xy) : 3xy c) (x - 1)^2 + (x - 2)(x 
  a5w7 TL 2 | Thực hiện các phép tính sau: a) (x + 3)(x^2 + 3x - 5); b) (x^2 - 2x + 3)(x - 4).
  2ac2 TL 2 | Thực hiện phép nhân: a) (x - y)(x - 5y); b) (2x + y)(4x^2 - 2xy + y^2).
  csxx TL 1 | Nhân hai đơn thức: a) 5x^2y và 2xy^2; b) \frac{3}{4}xy và 8x^3y^2; c) 1,5xy^2z^3 và 2x^3y^2z.
  8f94 TL 2 | Tìm tích của đơn thức với đa thức: a) (-0,5)xy^2(2xy - x^2 + 4y); b) (x^3y - \frac{1}{2}x^2 + \frac{1}{3}xy)6x
  zmch TL 2 | Làm tính nhân: a) (x^2 - xy + 1)(xy + 3); b) (x^2y^2 - \frac{1}{2}xy + 2)(x - 2y).
  58a4 TL 2 | Thực hiện phép tính sau: a) \frac{3}{5}xy(xy^2 - 5x + 10y); b) (3xy - 2x^2 + xy^2) \cdot \frac{2}{3}x^2y.
  tswc TL 2 | Thực hiện phép nhân: a) 3x(2xy - 5x^2y); b) 2x^2y(xy - 4xy^2 + 7y); c) (-\frac{1}{2}xy^2 + 6y^2z) \cdot (-\fra
  3q6v TL 3 | Thực hiện phép tính: a) (x^2 - x + 1)(x^2 + x + 1)(x^4 - x^2 + 1); b) (x^{2n} - x^ny^n + y^{2n})(x^n + y^n)(x^
  094o TL 2 | Thực hiện các phép tính sau: a) (x^2y^2 - \frac{1}{2}xy + 2y)(x - 2y); b) (x + y)(x^2 - xy + y^2).
  ehq5 TL 2 | Thực hiện phép tính a) (-xy)(-2x^2y + 3xy - 7x); b) (\frac{1}{6}x^2y^2)(-0,3x^2y - 0,4xy + 1); c) (x + y)(x^2 
  ah32 TL 2 | Xác định bậc, hệ số của hạng tử có bậc lớn nhất của các biểu thức sau: a) A = -4x^3(x^2 - 3x + 1); b) B = -\fr
  fxbh TL 2 | Rút gọn các biểu thức sau a) (x - y)(x + y)(x^2 + y^2)(x^4 + y^4); b) (x + 2)(x^2 + 4x + 4) - (x - 2)^3 - 6(x 
  3ppb NLC 1 | Hệ số của đơn thức 2x^2y3xy^2 là?
  grni NLC 2 | Bậc của đơn thức 2xy^2 \frac{4}{3}x^2y^3 6x là?
  fho4 NLC 2 | Viết đơn thức 21x^4y^5z^6 dưới dạng tích hai đơn thức, trong đó có 1 đơn thức 3x^2y^2z ta được kết quả là:
  enkc NLC 1 | Thực hiện phép tính nhân x^2(5x^3 - x - \frac{1}{2}) ta được kết quả là?
  koq1 NLC 2 | Tích (x - y)(x + y) có kết quả bằng:
  8uab NLC 2 | Trong các phép tính sau, phép tính nào có kết quả là 3x^2 + 3y^2?
  cm5z NLC 2 | Tính (\frac{1}{3}x^3y^3 + 2x^2y^4) : (xy^2) ta được kết quả là?
  9xhu NLC 2 | Tích 6x^4y^2 : (\frac{1}{2}x^2y)^2 bằng:
  2siq TL 1 | Thực hiện phép tính: (x+8)(x-5).
  ql44 TL 1 | Làm tính nhân: \frac{1}{2}x^3(x^2-6x-10).
  krbe TL 1 | Thực hiện phép tính: (2x-1)(3x^2-7x+5).
  gm5n TL 1 | Làm tính nhân: -3x^2(5x^3-4x^2+3x-1).
  4tap TL 2 | Làm tính nhân: -4x^3(x^2-3x+2).
  oq5q TL 3 | Làm tính nhân: (5x^2-4x)(2x^2+9x-3).
  fl0l TL 2 | Làm tính nhân: 6x^3(7x^2+5x-3).
  d8zx TL 3 | Làm tính nhân: 4x^2y(2x^3-x^2y+\dfrac12xy^2-6y^3).
  jnr6 TL 3 | Làm tính nhân: (3x^2-7x)(2x^2-5x+1).
  otno TL 3 | Làm tính nhân: (3x-y)(5x^2+2xy+4y^2).
  jlau TL 2 | Làm tính nhân: (2x+7)(3x-1).
  7da1 NLC 1 | Kết quả của phép tính x.(2x^2+1) bằng:
  z47e TL 2 | Tìm hệ số của x^3 trong kết quả của phép nhân (x^2-x)(x^2+x-1).
  om7i NLC 1 | Kết quả của phép tính (3x^2y) \cdot (-xy^2)
  tehh NLC 2 | Cho các đơn thức A = 4x^3y(-5xy), B = -17x^4y^2, C = \frac{3}{5}x^6y. Các đơn thức nào đồng dạng với nhau?
  x8re TL 2 | Làm tính nhân: -\dfrac25x^2(5x^3+10x^2-15x).
  cvnu TL 2 | Thực hiện phép tính và xác định bậc của đa thức: a) 2x^3(5x^3 - x - \frac{1}{2}); b) \frac{2}{3}x^2y(6xy - x^2
  kuwh TL 2 | Thực hiện các phép tính sau a) (x - 1)(x^5 + x^4 + x^3 + x^2 + x + 1); b) (x + 1)(x^6 - x^5 + x^4 - x^3 + x^2 
  o3eh TL 2 | Thực hiện phép tính: a)  (5xy - 10x^3 + y) \cdot \frac{2}{5}x^2yz b)  -2xy \cdot (x^3y - 3x^2y^2 + 8xy^3) c)  

### [38] Bài 5. Phép chia đa thức cho đơn thức | Tìm đơn thức thỏa mãn đẳng thức (2)
    yêu cầu: Vận dụng được phép cộng, trừ đơn thức đồng dạng để tìm đơn thức chưa biết và tính giá trị của đơn thức đó.
  t9mm TL 2 | a) Tìm đơn thức B nếu 4x^3y^2:B=-2xy. b) Với đơn thức B tìm được ở câu a, hãy tìm đơn thức H để (4x^3y^2-3x^2y
  dogp TL 3 | Biết rằng D là một đơn thức sao cho -2x^3y^4 : D = xy^2. Hãy tìm thương của phép chia: (10x^5y^2 - 6x^3y^4 + 8

### [39] Bài 5. Phép chia đa thức cho đơn thức | Tính giá trị của biểu thức (12)
    yêu cầu: Tính được giá trị của biểu thức chứa phép chia đơn thức, đa thức cho đơn thức tại các giá trị cho trước của biến.
  hf7e TL 2 | Tính giá trị của biểu thức A = 20x^3y^5z^3 : 5x^3y^3z với x=1{,}234; y=18; z=-\frac{1}{12}.
  3f44 TL 2 | Tính giá trị của biểu thức A = 15a^4b^3c^2 : 5ab^2c^2 tại a=2, b=-10, c=2018.
  eyde TL 2 | Tính giá trị của biểu thức P = (-x^2y^5)^2 : (-x^2y^5) tại x=\frac{1}{2} và y=-1.
  zot7 TL 2 | Tính giá trị của biểu thức M = 15x^4y^3z^2 : 5xy^2z^2 tại x=2; y=-10 và z=2004.
  ylw8 TL 2 | Tính giá trị của biểu thức P = [3(x-y)^4+2(x-y)^3-5(x-y)^2] : (x-y)^2 tại x=1, y=-7.
  x69l TL 2 | Tính giá trị của biểu thức A = 15a^4b^3c^2 : 5ab^2c^2 tại a=2; b=-10; c=2009.
  iubh TL 2 | Tính giá trị của biểu thức Q = -(x^7y^2z)^2 : (-xy^3z)^2 tại x=1; y=-10; z=101.
  xniu TL 2 | Tính giá trị biểu thức A = (15x^4y^5-17x^3y^2) : xy^2 tại x=2, y=3.
  ze6s TL 2 | Tính giá trị biểu thức B = [5(x-y)^6+2(x-y)^5-7(x-y)^3] : (y-x)^2 tại x=7, y=13.
  6c1i TL 2 | Tính giá trị biểu thức C = (x^2+6)(x^2+4) : (x^2+5) tại x=-2.
  tpdh TL 2 | Tính giá trị của biểu thức A=20x^3y^5z^3:5x^3y^3z với x=1{,}234; y=8; z=-\frac{1}{12}.
  nc78 NLC 2 | Giá trị biểu thức A=(8x^3):x tại x=-1 là:

### [40] Bài 5. Phép chia đa thức cho đơn thức | Tìm x (2)
    yêu cầu: Vận dụng được các phép tính cộng, trừ, nhân đa thức để tìm giá trị của biến số trong một đẳng thức cho trước.
  zy5h TL 3 | Tìm x, biết: (18x^3-15x^2):(-3x^2)=2.
  1fa5 TL 3 | Tìm x, biết: (12x^5-15x^4):3x^3-(8x^3+6x):2x=7.

### [41] Bài 5. Phép chia đa thức cho đơn thức | Tìm đa thức thõa mãn đẳng thức (1)
    yêu cầu: Vận dụng được phép cộng và phép trừ đa thức để tìm đa thức chưa biết trong một đẳng thức cho trước.
  mimj TL 3 | Rút gọn biểu thức T=(5xy-4y^2)(3x^2+4xy)-15xy(x+y)(x-y). Tìm đa thức D sao cho T:D=xy^2.

### [42] Bài 5. Phép chia đa thức cho đơn thức | Dạng toán chia hết (7)
    yêu cầu: Giải quyết được các bài toán liên quan đến điều kiện chia hết của đa thức cho đơn thức và tính chất chia hết trong tập hợp số.
  t3if TL 3 | Cho đa thức A=2x^2y^2-5xy^3 và đơn thức B=3x^my^2 (với m\in{N}). a) Tìm số nguyên dương m sao cho đa thức A ch
  w03f TL 2 | Cho các đa thức A=9x^4y^2z^2-5x^3y^3z+2x^3y^3; B=6x^3y^3z^2+3x^2y^2z^2-7xy^4z^2 và đơn thức C=3x^2y^2z. Xét xe
  p6wt TL 3 | Tìm n\in{N} để (-x^{3n}y^3z) chia hết cho 4x^6y^{n+1}.
  rwbs TL 3 | Tìm n\in{N} để 21x^ny^3 - 35x^5y^{n-1} chia hết cho 7x^3y^3.
  8i49 TL 2 | Tìm n\in{N} để đơn thức 2x^ny^3 chia hết cho đơn thức 5x^2y^{n-1}.
  y9xy TL 4 | Tìm các số thực a, b sao cho đa thức 4x^4-11x^3-2ax^2+5bx-6 chia hết cho đa thức x^2-2x-3. (Trích đề thi học s
  kred TL 2 | Tìm n\in{N} để đơn thức 18x^{n+2} chia hết cho đơn thức -6x^5.

### [43] Bài 5. Phép chia đa thức cho đơn thức | Toán thực tế (4)
    yêu cầu: Vận dụng được phép chia đa thức cho đơn thức để giải quyết một số bài toán thực tế liên quan đến hình học hoặc tính toán đại lượng.
  3ivd TL 2 | Tính diện tích đáy của hình hộp chữ nhật có thể tích bằng 12x^3-3xy^2+9x^2y và chiều cao bằng 3x.
  89c8 TL 2 | Tính chiều dài của hình chữ nhật có diện tích bằng 6xy+10y^2 và chiều rộng bằng 2y.
  jid1 TL 2 | Tính chiều cao của hình hộp chữ nhật có thể tích V=6x^2y-8xy^2 và diện tích đáy S=2xy.
  5ec3 TL 2 | Bà Khanh dự định mua x hộp sữa, mỗi hộp giá y đồng. Nhưng khi đến cửa hàng bà Khanh thấy giá sữa đã giảm 1500 

### [44] Bài 5. Phép chia đa thức cho đơn thức | Chứng minh (5)
    yêu cầu: Vận dụng phép chia đa thức cho đơn thức để chứng minh giá trị của một biểu thức không phụ thuộc vào giá trị của biến.
  k3bn TL 3 | Chứng minh rằng giá trị của biểu thức sau không phụ thuộc vào giá trị của biến y (x\ne 0; y\ne 0): B = \frac{2
  a4mc TL 3 | Chứng minh rằng giá trị của biểu thức sau không phụ thuộc vào biến x (x\ne 0, y\ne 0): Q = \frac{1}{2}x^3y^2 :
  kq15 TL 2 | Chứng minh rằng biểu thức sau không âm với mọi giá trị của biến: A = (-15x^3y^6):(-5xy^2).
  f5x8 TL 3 | Chứng minh rằng giá trị của biểu thức sau không phụ thuộc vào biến x (x\ne 0, y\ne 0): E = \frac{2}{3}x^5y^7 :
  11o4 TL 4 | Chứng minh rằng giá trị của biểu thức A luôn luôn dương với mọi giá trị của x: A = (7x^4-21x^2):7x^2 + (10x+5x

### [45] Bài 5. Phép chia đa thức cho đơn thức | Chia đơn thức cho đơn thức (38)
    yêu cầu: Thực hiện được phép chia một đơn thức cho một đơn thức khác trong trường hợp chia hết.
  a36z TL 1 | Làm tính chia: 20x^5y^3:4x^2y^2.
  dt0l TL 1 | Làm tính chia: 12x^3y^4 : \frac{2}{5}xy^4.
  13dv TL 1 | Làm tính chia: 2(x+y)^3 : 5(x+y).
  0wtp TL 2 | Làm tính chia: -(x-y)^5 : (y-x)^2.
  ha67 TL 1 | Làm tính chia: (\frac{3}{4})^5 : (\frac{3}{4})^3.
  tse4 TL 1 | Làm tính chia: 16x^4y^5z^6 : 8x^3y^2.
  xay9 TL 1 | Làm tính chia: 5^3 : (-5)^2.
  xiwl TL 1 | Làm tính chia: (-12)^3 : 8^3.
  sykt TL 1 | Làm tính chia: x^2yz : \frac{1}{2}xyz.
  l1zo TL 1 | Làm tính chia: 2x^3y^4 : x^3y.
  zgtv TL 1 | Làm tính chia: 18x^2y^2z : 8xyz.
  no65 TL 1 | Làm tính chia: 5a^3b : (-2a^2b).
  urra TL 1 | Làm tính chia: 27x^4y^2z : 9x^4y.
  r0lx TL 2 | Làm tính chia: (x+y)^2 : (x+y).
  2a9k TL 2 | Làm tính chia: (x-y)^5 : (y-x)^4.
  xxhg TL 1 | Làm tính chia: (x-y+z)^4 : (x-y+z)^3.
  ypvm TL 2 | Làm tính chia: 8(x+2y)^5 : (2x+4y).
  ibzr TL 1 | Làm tính chia: (-ab)^{10} : (-ab)^5.
  aiw7 TL 2 | Làm tính chia: (-x^3y^2z)^4 : (-xy^2z)^3.
  la51 TL 1 | Làm tính chia: 5a^2b^4 : 10a^2b.
  zb5g TL 1 | Làm tính chia: \frac{3}{4}a^3b^3 : (\frac{-1}{2}a^2b^2).
  wo66 TL 1 | Thực hiện phép tính: (39x^5y^7) : (13x^2y).
  qa97 TL 1 | Thực hiện phép chia: 20x^3y^5 : (5x^2y^2).
  rdo4 TL 2 | Thực hiện phép chia: 18x^3y^5 : [3(-x)^3y^2].
  fqc4 TL 1 | Thực hiện phép tính: 5x^4y^3 : 15x^2y^2.
  bg20 TL 1 | Thực hiện phép tính: \frac{3}{4}x^3y^5 : (-\frac{1}{2}x^2y^4).
  egiy TL 1 | Thực hiện phép tính: (-xy)^{10} : (-xy)^5.
  iz1q TL 2 | Thực hiện phép tính: 2(x-2y)^5 : (5x-10y).
  ogq5 TL 1 | Làm tính chia: (-x^4y^5):(-xy^3).
  4e06 TL 1 | Làm tính chia: x^2yz^3:(-x^2z^3).
  jv4d TL 2 | Làm tính chia: x^{n+2}y^{3n}:x^{n-2}y^n (với n\in{N}, n\ge 2).
  gw3e TL 2 | Làm tính chia: (-7x^3y^4):(9x^3y^2).
  1zhu TL 1 | Làm tính chia: (x+2y-3z)^{n+1} : (x+2y-3z)^n (với n\in{N}).
  y5th TL 2 | Làm tính chia: 20x^5y^2z : (-\dfrac25x^2y^2).
  fvn3 TL 2 | Tìm đơn thức N sao cho N : 0{,}5xy^2z = -xy.
  mvtj TL 2 | Làm tính chia: (-a-b)^5 : (a+b)^2.
  g8pw TL 1 | Làm tính chia: \frac{4}{9}x^5y^2z^3 : (-1\frac{1}{3}xy^2).
  wr9z TL 2 | Tìm đơn thức M, biết rằng \frac{7}{3}x^3y^2 : M = 7xy^2.

### [46] Bài 5. Phép chia đa thức cho đơn thức | Phép chia hết (14)
    yêu cầu: Xác định được điều kiện để một đa thức chia hết cho một đơn thức và thực hiện phép chia hết đó.
  h3u7 TL 2 | Tìm số tự nhiên n để phép chia sau là chia hết: (13x^4y^3-7x^3y^4+2x^2y^3):3x^ny^n.
  yx60 TL 2 | Cho đa thức A = 9xy^4 - 12x^2y^3 + 6x^3y^2. Xét xem A có chia hết cho đơn thức B = 3x^2y hay không? Thực hiện 
  hviy TL 2 | Tìm số tự nhiên n để phép chia sau là chia hết: (2018x^{2019}-2017x^3+2x^5):4x^n.
  ms32 TL 2 | Tìm số tự nhiên n để phép chia sau là phép chia hết: x^4 : x^n.
  zuqj TL 2 | Tìm số tự nhiên n để phép chia sau là phép chia hết: 5x^ny^3 : 4x^2y^2.
  f87g TL 2 | Tìm số tự nhiên n để đơn thức A chia hết cho đơn thức B, biết A = 4x^{n+1}y^2; B = 3x^3y^{n-1}.
  qjwy TL 2 | Tìm số tự nhiên n để A chia hết cho B với A=8x^{n+2}y^2 và B=3x^4y^{n-1}.
  82pk TL 2 | Tìm n\in{N} để đơn thức -7x^{n+1}y^6 chia hết cho 4x^5y^n.
  7z3b TL 2 | Tìm số tự nhiên n để phép chia sau là phép chia hết: 15x^{n+2}y^n : 3x^3y^4.
  d4ie TL 2 | Tìm số tự nhiên n để phép chia sau là phép chia hết: (-\frac{1}{2}x^{2n}y^7) : \frac{3}{10}x^{n+3}y^n.
  tkj4 TL 2 | Tìm số tự nhiên n để phép chia sau là chia hết: (3x^5-7x^4+2x^3) : 2x^n.
  50pl TL 2 | Tìm số tự nhiên n để phép chia sau là chia hết: (3x^5y^3-7x^4y^2+2x^3y^2) : 2x^ny^n.
  rxaw TL 2 | Tìm số tự nhiên n để đa thức 8x^4y^5+4x^5y^3-5x^6y^4 chia hết cho đơn thức 5x^ny^{n+1}.
  34pu TL 2 | Tìm số tự nhiên n để phép chia sau là chia hết: (3x^3-7x^2+2x):4x^n.

### [47] Bài 5. Phép chia đa thức cho đơn thức | Chia đa thức cho đơn thức (27)
    yêu cầu: Thực hiện được phép chia một đa thức cho một đơn thức trong trường hợp các hạng tử của đa thức chia hết cho đơn thức.
  9sk9 TL 1 | Thực hiện phép chia: (4x^2y^2-8x^2y+10xy) : (2xy).
  en97 TL 1 | Thực hiện phép tính: (4x^7-3x^3-4x^2):(7x^2).
  kn2i TL 1 | Thực hiện phép tính: (7y^4-3y^2+2y):(2y).
  7iaj TL 1 | Thực hiện phép tính: (9x^3y^3-18x^2y^4-6x^3y^2):(3x^2y).
  l5f2 TL 1 | Thực hiện phép tính: (2x^5y^3-4x^3y^5+6xy^4):(2xy).
  q5wi TL 1 | Làm tính chia: (8x^4-10x^3+12x^2):4x^2.
  xomy TL 2 | Làm tính chia: [7(y-x)^4-5(x-y)^3] : (x-y)^3.
  cibf TL 1 | Thực hiện phép tính: (x^3-2xy^2+6x^2y^3):(-\frac{1}{2}x).
  j1qp TL 2 | Thực hiện phép tính sau: (3x^2y^2+6x^2y^3-12xy):3xy
  e3vn TL 2 | Thực hiện phép chia (7y^5z^2 - 14y^4z^3 + 2{,}1y^3z^4) : (-7y^3z^2).
  n50s TL 1 | Thực hiện phép tính: (x^2y^2+\frac{1}{6}x^3y^2-x^5y^4) : (\frac{1}{2}x^2y^2).
  vvch TL 1 | Thực hiện phép chia: (7x^4y^2-2x^2y^2-5x^2y^4) : (3x^2).
  nmor TL 1 | Thực hiện phép tính: (30x^3y^4-15x^3y^2+3x^3y^5) : (3x^2y^2).
  9fvw TL 1 | Thực hiện phép tính: (5xy^2-3xy+6x^3y^2) : (-xy).
  8ado TL 2 | Thực hiện phép tính: [2(a-b)^2+3(b-a)^3-4(a-b)^4] : (b-a)^2.
  ouku TL 2 | Thực hiện phép tính: [(x-y)^4-3(y-x)^3+2(x-y)^2] : (x^2-2xy+y^2).
  l00s TL 3 | Làm tính chia: [\frac{1}{2}(x-y)^5+\frac{2}{3}(x-y)^{n+2}] : \frac{1}{6}(x-y)^2 với n\in{N}.
  cdsv NLC 2 | Khi chia đa thức 8x^3y^2 - 6x^2y^3 cho đơn thức -2xy, ta được kết quả là
  syei TL 4 | Làm phép chia sau theo hướng dẫn: [8x^3(2x-5)^2 - 6x^2(2x-5)^3 + 10x(2x-5)^2] : 2x(2x-5)^2. Hướng dẫn: Đặt y =
  2p9l TL 2 | Làm tính chia: (9x^4y^2-15x^3y^3+21x^2y) : 10x^2y.
  1f3t TL 2 | Làm tính chia: (24x^6y^4-8x^4y^6+\dfrac12x^2y^2) : \dfrac12x^2y^2.
  hiu2 TL 2 | Làm tính chia: (6x^4-9x^3y-15x^2y^2) : \dfrac34x^2.
  b8kj NLC 2 | Kết quả phép tính (2x^2y+4x^2y^2):(2xy) bằng:
  29mb TL 1 | Thực hiện phép tính: (4x^4-8x^2y+24x^2y^5):(-4x^2).
  rprj TL 2 | Làm tính chia: (1\frac{1}{5}x^5y^3+2\frac{2}{5}x^4y^4-1\frac{1}{5}x^3y^5) : \frac{3}{5}x^3y^3.
  klvs TL 1 | Làm tính chia: (30x^3y^2-18x^2y^3-6xy^4):(-6xy^2).
  1qfb TL 1 | Thực hiện phép tính: (8x^5-3x^4+2x^3-4x):(-2x).

### [48] Bài 5. Phép chia đa thức cho đơn thức | Rút gọn và tính giá trị biểu thức (3)
    yêu cầu: Thực hiện được các phép tính cộng, trừ, nhân, chia đa thức để thu gọn và tính giá trị của biểu thức.
  89g1 TL 2 | Rút gọn biểu thức: (3x^2-5xy-4y^2)\cdot(2x^2+y^2)+(2x^4y-x^3y^3-x^2y^4):(\frac{1}{5}xy).
  e9ow TL 4 | Rút gọn biểu thức sau: B = 5xy(xy-y^2+1)-3x(y-1)-[(10x^3y^4-10x^2y^5+6x^2y^2):2xy^2].
  fz2j TL 2 | Cho biểu thức B=(6x^4y^2-8x^3y^3):2x^2y^2+(-20x^4y^3+15x^3y^4):(-5x^3y^2). a) Rút gọn B. b) Tính giá trị của B

### [49] Bài 6. Ôn tập chương | Bài tập tổng hợp chương 1 (0)
    yêu cầu: Vận dụng tổng hợp kiến thức của chương 1 để giải các bài toán ôn tập, kiểm tra cuối chương.
