Chương 2. Phương trình và bất phương trình bậc nhất một ẩn · lớp 9 · 15 dạng · 498 câu


### [1] Bài 1. Phương trình quy về phương trình bậc nhất một ẩn | Giải bài toán bằng cách lập phương trình (23)
    yêu cầu: Giải quyết được một số vấn đề thực tiễn bằng cách lập phương trình quy về phương trình bậc nhất một ẩn.
  7212 TLN 4 | Từ đỉnh hải đăng cao 50 m nhìn tàu với góc hạ 20^\circ (H.14) [CÓ HÌNH ẢNH KÈM THEO]. Tàu cách chân hải đăng b
  47sc TLN 4 | Thang dài 7 m tạo với đất góc 68^\circ (H.13) [CÓ HÌNH ẢNH KÈM THEO]. Đầu thang cao bao nhiêu (làm tròn 0,01 m
  q3a6 TLN 4 | Mái nhà dài 8 m nghiêng 32^\circ so với phương ngang (H.19) [CÓ HÌNH ẢNH KÈM THEO]. Tính độ cao chênh lệch hai
  uann TLN 4 | Hai điểm cùng phía chân tháp cách nhau 15 m, góc nâng lần lượt 30^\circ và 45^\circ (H.16) [CÓ HÌNH ẢNH KÈM TH
  xemy TLN 4 | Đứng cách chân tháp 30 m, góc nâng 38^\circ, mắt cao 1,5 m (H.12) [CÓ HÌNH ẢNH KÈM THEO]. Tính chiều cao tháp 
  0pgj TL 2 | Chỉ số khối cơ thể BMI cho phép đánh giá thể trạng của một người là gầy, bình thường hay béo. Chỉ số khối cơ t
  7t23 TL 2 | Để đổi từ độ Fahrenheit (độ F) sang độ Celsius (độ C), người ta dùng công thức sau: C = \frac{5}{9}(F - 32) a)
  d72b TL 3 | Một người đi bộ một quãng đường dài 18 km trong khoảng thời gian không nhiều hơn 4 giờ. Lúc đầu người đó đi vớ
  syul TL 3 | Người ta dùng một loại xe tải để chở sữa tươi cho một nhà máy. Biết mỗi thùng sữa loại 180 ml nặng trung bình 
  74v8 TL 2 | Để lập đội tuyển năng khiếu về bóng rổ của trường THCS Nguyễn Hiền, thầy Nam đưa ra quy định tuyển chọn như sa
  kypq TL 3 | Trong một cuộc thi tuyển dụng việc làm, ban tổ chức quy định mỗi người ứng tuyển phải trả lời 25 câu hỏi ở vòn
  g0kg TL 3 | Một hãng viễn thông nước ngoài có hai gói cước như sau: [BẢNG BIẾN THIÊN] a) Hãy viết một phương trình xác địn
  gpqv TL 2 | Với những giá trị nào của x thì: Giá trị của biểu thức (x + 1)^2 - 4 không lớn hơn giá trị của biểu thức (x - 
  m970 TL 2 | Bạn Minh Hiền có 100 nghìn đồng. Bạn muốn mua một cái bút giá 18 nghìn đồng và một số quyển vở, mỗi quyển vở g
  a94k TL 2 | Một kho chứa 100 tấn xi măng, mỗi ngày đều xuất đi 20 tấn xi măng. Gọi x là số ngày xuất xi măng của kho đó. T
  zqtd TL 2 | Một hãng taxi có giá mở cửa là 15 nghìn đồng và giá 12 nghìn đồng cho mỗi kilômét tiếp theo. Hỏi với 200 nghìn
  6nac TL 2 | Một người có số tiền không quá 70000 đồng gồm 15 tờ giấy bạc với hai loại mệnh giá: loại 2000 đồng và loại 500
  j4lh TL 2 | Với những giá trị nào của x thì: Giá trị của biểu thức \frac{x + 2}{3} - x + 1 lớn hơn giá trị của biểu thức x
  gchy TL 2 | Với những giá trị nào của x thì: Giá trị của biểu thức x - \frac{1 - \frac{3}{2}x}{4} nhỏ hơn giá trị của biểu
  qgcv TL 2 | Với những giá trị nào của x thì: Giá trị của biểu thức 7 - 3(x + 1) không nhỏ hơn giá trị biểu thức 2(x - 3) -
  e2nb TL 2 | Biểu thị (theo x) tổng khối lượng của các hộp xếp ở đĩa cân bên trái, đĩa cân bên phải (hình vẽ) lần lượt là 3
  q6da TL 2 | Để hưởng ứng phong trào “Trồng cây gây rừng”, lớp 9A có kế hoạch trồng ít nhất 100 cây xanh. Lớp 9A đã trồng đ
  jxuz TL 3 | Trong cuộc thi “Đố vui để học”, mỗi thí sinh phải trả lời 12 câu hỏi của ban tổ chức. Mỗi câu hỏi gồm bốn phươ
  bghf TL 2 | Một kì thi Tiếng Anh gồm bốn kĩ năng: nghe, nói, đọc, viết. Kết quả của bài thi là điểm số trung bình của bốn 
  3vpz TL 2 | Tìm số thực dương x sao cho chu vi của hình tam giác lớn hơn chu vi của hình chữ nhật (ở hình vẽ dưới) [HÌNH V
  oy0w TL 2 | Một nhà máy sản xuất xi măng mỗi ngày đều sản xuất được 100 tấn xi măng. Lượng xi măng tồn trong kho của nhà m
  y2l9 TL 2 | Một ngân hàng đang áp dụng lãi suất gửi tiết kiệm kì hạn 1 tháng là 0,4%/ tháng. Hỏi nếu muốn có số tiền lãi h
  5isy TL 2 | Bạn Trúc Linh tham dự một kì kiểm tra năng lực tiếng Anh gồm 4 bài kiểm tra nghe, nói, đọc và viết. Mỗi bài ki
  kna8 TL 2 | Đến ngày 31/12/2024, gia đình Cô Thúy đã tiết kiệm được số tiền là 250 triệu đồng. Sau thời điểm đó, mỗi tháng
  dtcl TL 1 | Bác Hoàng dự định chạy bộ tổng cộng ít nhất 6 500 m vào buổi sáng và buổi chiều trong ngày. Buổi sáng bác Hoàn

### [15] Bài 4. Ôn tập chương | Bài tập tổng hợp chương 2 (0)
    yêu cầu: Vận dụng tổng hợp kiến thức về phương trình quy về bậc nhất, bất đẳng thức và bất phương trình bậc nhất một ẩn.
